PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36976906","The Neural Correlates of Updating and Gating in Procedural Working Memory","Nir-Cohen G, Egner T, Kessler Y.","J Cogn Neurosci. 2023 Jun 1;35(6):919-940. doi: 10.1162/jocn_a_01988.","Nir-Cohen G","J Cogn Neurosci","2023","2023/03/28","","","10.1162/jocn_a_01988"
"39575823","Altered default-mode and frontal-parietal network pattern underlie adaptiveness of emotion regulation flexibility following task-switch training","Gao W, Biswal B, Zhou X, Xiao Z, Yang J, Li Y, Yuan J.","Soc Cogn Affect Neurosci. 2024 Dec 13;19(1):nsae077. doi: 10.1093/scan/nsae077.","Gao W","Soc Cogn Affect Neurosci","2024","2024/11/22","PMC11642612","","10.1093/scan/nsae077"
"36639905","Lingering Neural Representations of Past Task Features Adversely Affect Future Behavior","Rangel BO, Hazeltine E, Wessel JR.","J Neurosci. 2023 Jan 11;43(2):282-292. doi: 10.1523/JNEUROSCI.0464-22.2022. Epub 2022 Dec 5.","Rangel BO","J Neurosci","2023","2023/01/14","PMC9838716","","10.1523/JNEUROSCI.0464-22.2022"
"35653493","Sensory experience modulates the reorganization of auditory regions for executive processing","Manini B, Vinogradova V, Woll B, Cameron D, Eimer M, Cardin V.","Brain. 2022 Oct 21;145(10):3698-3710. doi: 10.1093/brain/awac205.","Manini B","Brain","2022","2022/06/02","PMC9586534","","10.1093/brain/awac205"
"29959966","Language and cognitive control networks in bilinguals and monolinguals","Anderson JAE, Chung-Fat-Yim A, Bellana B, Luk G, Bialystok E.","Neuropsychologia. 2018 Aug;117:352-363. doi: 10.1016/j.neuropsychologia.2018.06.023. Epub 2018 Jun 28.","Anderson JAE","Neuropsychologia","2018","2018/07/01","PMC6086755","NIHMS980559","10.1016/j.neuropsychologia.2018.06.023"
"27217212","White matter and task-switching in young adults: A Diffusion Tensor Imaging study","Vallesi A, Mastrorilli E, Causin F, D'Avella D, Bertoldo A.","Neuroscience. 2016 Aug 4;329:349-62. doi: 10.1016/j.neuroscience.2016.05.026. Epub 2016 May 20.","Vallesi A","Neuroscience","2016","2016/05/25","PMC4915443","","10.1016/j.neuroscience.2016.05.026"
"27520472","Functional brain and age-related changes associated with congruency in task switching","Eich TS, Parker D, Liu D, Oh H, Razlighi Q, Gazes Y, Habeck C, Stern Y.","Neuropsychologia. 2016 Oct;91:211-221. doi: 10.1016/j.neuropsychologia.2016.08.009. Epub 2016 Aug 9.","Eich TS","Neuropsychologia","2016","2016/08/14","PMC5075252","NIHMS812034","10.1016/j.neuropsychologia.2016.08.009"
"21391260","Domain general and domain preferential brain regions associated with different types of task switching: a meta-analysis","Kim C, Cilles SE, Johnson NF, Gold BT.","Hum Brain Mapp. 2012 Jan;33(1):130-42. doi: 10.1002/hbm.21199. Epub 2011 Mar 9.","Kim C","Hum Brain Mapp","2012","2011/03/11","PMC3421461","NIHMS394793","10.1002/hbm.21199"
"34958871","Planning in amnestic mild cognitive impairment: an fMRI study","Lejko N, Tumati S, Opmeer EM, Marsman JC, Reesink FE, De Deyn PP, Aleman A, Ćurčić-Blake B.","Exp Gerontol. 2022 Mar;159:111673. doi: 10.1016/j.exger.2021.111673. Epub 2021 Dec 24.","Lejko N","Exp Gerontol","2022","2021/12/27","","","10.1016/j.exger.2021.111673"
"26786152","Altered balance of functional brain networks in Schizophrenia","Woodward TS, Leong K, Sanford N, Tipper CM, Lavigne KM.","Psychiatry Res Neuroimaging. 2016 Feb 28;248:94-104. doi: 10.1016/j.pscychresns.2016.01.003. Epub 2016 Jan 4.","Woodward TS","Psychiatry Res Neuroimaging","2016","2016/01/21","","","10.1016/j.pscychresns.2016.01.003"
"25446349","Performance monitoring and behavioral adaptation during task switching: an fMRI study","von der Gablentz J, Tempelmann C, Münte TF, Heldmann M.","Neuroscience. 2015 Jan 29;285:227-35. doi: 10.1016/j.neuroscience.2014.11.024. Epub 2014 Nov 20.","von der Gablentz J","Neuroscience","2015","2014/12/03","","","10.1016/j.neuroscience.2014.11.024"
"37031780","Altered Brain Dynamics Across Bipolar Disorder and Schizophrenia During Rest and Task Switching Revealed by Overlapping Brain States","Ye J, Sun H, Gao S, Dadashkarimi J, Rosenblatt M, Rodriguez RX, Mehta S, Jiang R, Noble S, Westwater ML, Scheinost D.","Biol Psychiatry. 2023 Oct 1;94(7):580-590. doi: 10.1016/j.biopsych.2023.03.024. Epub 2023 Apr 7.","Ye J","Biol Psychiatry","2023","2023/04/09","PMC10524212","NIHMS1891361","10.1016/j.biopsych.2023.03.024"
"14980570","Spatiotemporal brain dynamics during preparatory set shifting: MEG evidence","Periáñez JA, Maestú F, Barceló F, Fernández A, Amo C, Ortiz Alonso T.","Neuroimage. 2004 Feb;21(2):687-95. doi: 10.1016/j.neuroimage.2003.10.008.","Periáñez JA","Neuroimage","2004","2004/02/26","","","10.1016/j.neuroimage.2003.10.008"
"24096028","Switching auditory attention using spatial and non-spatial features recruits different cortical networks","Larson E, Lee AK.","Neuroimage. 2014 Jan 1;84:681-7. doi: 10.1016/j.neuroimage.2013.09.061. Epub 2013 Oct 3.","Larson E","Neuroimage","2014","2013/10/08","PMC3856289","NIHMS530734","10.1016/j.neuroimage.2013.09.061"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"37934760","Anatomically compliant modes of variations: New tools for brain connectivity","Clementi L, Arnone E, Santambrogio MD, Franceschetti S, Panzica F, Sangalli LM.","PLoS One. 2023 Nov 7;18(11):e0292450. doi: 10.1371/journal.pone.0292450. eCollection 2023.","Clementi L","PLoS One","2023","2023/11/07","PMC10629624","","10.1371/journal.pone.0292450"
"30735860","Dysfunction of attention switching networks in amyotrophic lateral sclerosis","McMackin R, Dukic S, Broderick M, Iyer PM, Pinto-Grau M, Mohr K, Chipika R, Coffey A, Buxo T, Schuster C, Gavin B, Heverin M, Bede P, Pender N, Lalor EC, Muthuraman M, Hardiman O, Nasseroleslami B.","Neuroimage Clin. 2019;22:101707. doi: 10.1016/j.nicl.2019.101707. Epub 2019 Feb 2.","McMackin R","Neuroimage Clin","2019","2019/02/09","PMC6365983","","10.1016/j.nicl.2019.101707"
"35661099","Cerebello-basal Ganglia Networks and Cortical Network Global Efficiency","Jackson TB, Bernard JA.","Cerebellum. 2023 Aug;22(4):588-600. doi: 10.1007/s12311-022-01418-z. Epub 2022 Jun 3.","Jackson TB","Cerebellum","2023","2022/06/06","PMC11223677","NIHMS2004465","10.1007/s12311-022-01418-z"
"38010299","Learning Cognitive Flexibility: Neural Substrates of Adapting Switch-Readiness to Time-varying Demands","Sali AW, Bejjani C, Egner T.","J Cogn Neurosci. 2024 Feb 1;36(2):377-393. doi: 10.1162/jocn_a_02091.","Sali AW","J Cogn Neurosci","2024","2023/11/27","PMC10902878","NIHMS1953137","10.1162/jocn_a_02091"
"16452666","Between-task competition and cognitive control in task switching","Yeung N, Nystrom LE, Aronson JA, Cohen JD.","J Neurosci. 2006 Feb 1;26(5):1429-38. doi: 10.1523/JNEUROSCI.3109-05.2006.","Yeung N","J Neurosci","2006","2006/02/03","PMC6675498","","10.1523/JNEUROSCI.3109-05.2006"
"34106305","Fronto-parietal homotopy in resting-state functional connectivity predicts task-switching performance","Vallesi A, Visalli A, Gracia-Tabuenca Z, Tarantino V, Capizzi M, Alcauter S, Mantini D, Pini L.","Brain Struct Funct. 2022 Mar;227(2):655-672. doi: 10.1007/s00429-021-02312-w. Epub 2021 Jun 9.","Vallesi A","Brain Struct Funct","2022","2021/06/09","PMC8843912","","10.1007/s00429-021-02312-w"
"36683346","Temporal dynamics of cognitive flexibility in adolescents with anorexia nervosa: A high-density EEG study","Berchio C, Annen LC, Bouamoud Y, Micali N.","Eur J Neurosci. 2023 Mar;57(6):962-980. doi: 10.1111/ejn.15921. Epub 2023 Feb 7.","Berchio C","Eur J Neurosci","2023","2023/01/23","","","10.1111/ejn.15921"
"25446970","Language and task switching in the bilingual brain: Bilinguals are staying, not switching, experts","Weissberger GH, Gollan TH, Bondi MW, Clark LR, Wierenga CE.","Neuropsychologia. 2015 Jan;66:193-203. doi: 10.1016/j.neuropsychologia.2014.10.037. Epub 2014 Nov 14.","Weissberger GH","Neuropsychologia","2015","2014/12/03","PMC4596720","NIHMS642663","10.1016/j.neuropsychologia.2014.10.037"
"26716447","Task-switching Cost and Intrinsic Functional Connectivity in the Human Brain: Toward Understanding Individual Differences in Cognitive Flexibility","Yin S, Wang T, Pan W, Liu Y, Chen A.","PLoS One. 2015 Dec 30;10(12):e0145826. doi: 10.1371/journal.pone.0145826. eCollection 2015.","Yin S","PLoS One","2015","2015/12/31","PMC4696812","","10.1371/journal.pone.0145826"
"15193581","Attentional systems in target and distractor processing: a combined ERP and fMRI study","Bledowski C, Prvulovic D, Goebel R, Zanella FE, Linden DE.","Neuroimage. 2004 Jun;22(2):530-40. doi: 10.1016/j.neuroimage.2003.12.034.","Bledowski C","Neuroimage","2004","2004/06/15","","","10.1016/j.neuroimage.2003.12.034"
